RefID,Author,Title,Abstract,Reason,Labels,"Response Sets",Attachments
184,"Morton, Emily","Effects of 4-Day School Weeks on Older Adolescents: Examining Impacts of the Schedule on Academic Achievement, Attendance, and Behavior in High School","Four-day school weeks have proliferated across the United States in recent years, reaching over 650 public school districts in 24 states as of 2019, but little is known about their implementation and there is no consensus on their effects on students. This study uses district-level panel data from Oklahoma and a difference-in-differences research design to provide estimates of the causal effect of the 4-day school week on high school students' ACT scores, attendance, and disciplinary incidents during school. Results indicate that 4-day school weeks decrease per-pupil bullying incidents by approximately 39% and per-pupil fighting incidents by approximately 31%, but have no detectable effect on other incident types, ACT scores, or attendance.","[mass quarantine] duplicate of 185","Initial Full Search",,
185,"Morton, Emily","Effects of 4-Day School Weeks on Older Adolescents: Examining Impacts of the Schedule on Academic Achievement, Attendance, and Behavior in High School","Four-day school weeks have proliferated across the United States in recent years, reaching over 650 public school districts in 24 states as of 2019, but little is known about their implementation and there is no consensus on their effects on students. This study uses district-level panel data from Oklahoma and a difference-in-differences research design to provide estimates of the causal effect of the 4-day school week on high school students’ ACT scores, attendance, and disciplinary incidents during school. Results indicate that 4-day school weeks decrease per-pupil bullying incidents by approximately 39% and per-pupil fighting incidents by approximately 31%, but have no detectable effect on other incident types, ACT scores, or attendance.","[mass quarantine] duplicate of 86","Initial Full Search",,
186,"Musson, Mia","Independence Schools shifting to a four-day school week",,"duplicate of 132","Initial Full Search",,
189,"Robles, Yesenia","Chalkbeat: Four-day school week in 27J schools had negative impacts, study suggests",,"duplicate of 124","Initial Full Search",,
190,"Bastian, Kevin C., Fuller, Sarah C.","Late but Right on Time? School Start Times and Middle Grade Students' Engagement and Achievement Outcomes in North Carolina","Purpose: We assess whether school start times predict the engagement and achievement outcomes of middle grades students. Our focus on middle grades is important because biological changes in sleep often begin when adolescents are in middle school and because middle school is a time when more students struggle academically. Research Methods/Approach: We use 6 years (2011-12 through 2016-17) of statewide administrative data from North Carolina to assess how school start times predict the school attendance, disciplinary records, and test scores of middle grades (6-8) students. We estimate a range of models--school fixed effect, student fixed effect, propensity score--and include a rich set of covariates to isolate the impact of start times. Findings: Our school engagement results are somewhat inconsistent but suggest that later start times predict a reduction in absences and suspensions. Later start times consistently predict higher test scores in mathematics and reading. Subgroup analyses return mixed results regarding which students benefit more from later middle school start times. Implications: Our results emphasize the broader connections between health and academic outcomes and indicate that policy makers should delay start times for middle grades students. States can instigate start time changes by incentivizing districts to delay or requiring that districts delay start times. Districts can independently delay their start times. In doing so, it is important that district officials take time to build support for the policy change and think comprehensively about the start times of all--elementary, middle, and high-district schools.","[mass quarantine] duplicate of 192","Initial Full Search",,
198,"Turner, Jon","Missouri suburban district copies rural four-day school week strategy to attract teachers",,"duplicate of 114","Initial Full Search",,
200,"Thompson, Paul N, Tomayko, Emily J, Gunter, Katherine B, Schuna, John, Jr","Impacts of the four-day school week on high school achievement and educational engagement","Four-day school week schedules are being adopted with increasing frequency, particularly in rural areas. In this paper, we consider the academic implications of students in Oregon attending a four-day school week for the first time when they enter high school. We find 11th grade math achievement in 0.09 standard deviations lower among four-day school week students, with significant impacts driven by four-day school week students in non-rural settings. We also find a greater number of four-day school week students being classified as chronically absent. Finally, we find reductions in on-time graduation among four-day school week students compared to five-day students.","duplicate of 115","Initial Full Search",,
203,"Uebelacker, Erik","Opinion: Four day work week could improve productivity",,"duplicate of 195","Initial Full Search",,
207,,"Four is better than five: A push for a four-day school week",,"duplicate of 103","Initial Full Search",,
209,"Krchak, Luke","Opinion | Four-day school week would improve mental health for students",,"duplicate of 140","Initial Full Search",,
211,"Prater, Jake","West Nodaway, Nodaway-Holt switch to four-day school week in hopes of bringing in more teachers",,"duplicate of 130","Initial Full Search",,
218,"Crook, Rebecca Walters","A Quantitative Study of the Impact of Four-Day School Weeks on Teacher Retention in Rural Public School Districts","The purpose of this quantitative investigative examination was to look at how the four-day school week impacts teacher retention, specifically in Idaho rural school districts. The research question studied was what is the relationship between the four-day school week and teacher retention in rural school districts? Within the quantitative research design, the causal-comparative design was the selected procedure. The sample in this study was public educators teaching in rural public-school districts with a four-day school week as compared to teachers with a five-day school week from the state of Idaho. This data was collected in the Fall of 2021 into the Spring of 2022 from databases in the West and Midwest regions of the United States. Next, descriptive statistics were employed, including independent sample t-tests to investigate the discrepancies in teacher retention rates among rural public schools with four-day school weeks and those five-day school weeks by a variety of variables. The research compared teacher retention in rural school districts on the four-day school week to the rate of teacher retention in rural school districts on the five-day school week. Three years of historical teacher retention data was collected from the Idaho Department of Education beginning with the 2017-2018 school year and ending with the 2019-2020 school year. While results indicate that school districts on a five-day school week consistently had a higher rate of teacher retention when compared to districts on a four-day school week, there was no statistically significant impact (p>0.05). [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]","duplicate of 22","Initial Full Search",,
222,"Mitchell, Terry G.","A Qualitative Study Examining the Perceptions of Special Education Team Members Regarding the Impact of the Four-Day School Week on Students Who Receive Special Education Services","The four-day school model is gaining popularity in rural districts across the United States. The four-day model has been touted as a model that produces benefits for rural communities. The four-day school week has been cited as creating benefits as well as consequences, however, there is limited research into the area of special education. The purpose of this study was to describe and analyze the effects that a four-day school week has on students who receive special education services. It also aims to explore the perceptions of the special education team of the impact the four-day school week has on the achievement and regression of learned material for students who receive special education services. The design of the study included the collection of perceptual data through surveys and semi-structured interviews. Data and discussion to the findings would be beneficial to district leaders seeking to implement the four-day model in the future.","[mass quarantine] duplicate of 3030","Initial Full Search",,
223,"Whipple, Martha Ann","A Comparison of Academic Achievement for the Four-Day and Five-Day School Week in New Mexico","The popularity of the four-day school week trends upward each year, and policymakers are concerned about the lack of literature on the shorter school and its effect on academic outcomes. The purpose of this causal-comparative quantitative study was to investigate if academic achievement differences existed between four-day and five-day weeks in New Mexico. Standardized test scores were compared to determine if a difference existed between two independent groups of students, those attending four-day schools and those attending five-day schools. A sample of standardized test scores from the 2018-2019 school year for New Mexico’s 89 public school districts showed test scores for English (N = 1,093) and math (N = 860) were statistically similar amongst the two groups of students: four-day students (English: M = 747.35, SD = 34.20; and Algebra II: M = 708.65, SD = 28.187); and five-day students (English: M = 748.86, SD = 36.43; Algebra II: M = 706.88, SD = 30.952). Results of the independent-samples t-test showed the independent variable (length of the school week) had no statistical impact on the dependent variable (academic achievement) and the samples were statistically similar.","[mass quarantine] duplicate of 43","Initial Full Search",,
227,"Crook, Rebecca Walters","A Quantitative Study of the Impact of Four-Day School Weeks on Teacher Retention in Rural Public School Districts","The purpose of this quantitative investigative examination was to look at how the four-day school week impacts teacher retention, specifically in Idaho rural school districts. The research question studied was what is the relationship between the four–day school week and teacher retention in rural school districts? Within the quantitative research design, the causal–comparative design was the selected procedure. The sample in this study was public educators teaching in rural public-school districts with a four-day school week as compared to teachers with a five-day school week from the state of Idaho. This data was collected in the Fall of 2021 into the Spring of 2022 from databases in the West and Midwest regions of the United States. Next, descriptive statistics were employed, including independent sample t-tests to investigate the discrepancies in teacher retention rates among rural public schools with four-day school weeks and those five-day school weeks by a variety of variables. The research compared teacher retention in rural school districts on the four-day school week to the rate of teacher retention in rural school districts on the five-day school week. Three years of historical teacher retention data was collected from the Idaho Department of Education beginning with the 2017-2018 school year and ending with the 2019-2020 school year. While results indicate that school districts on a five-day school week consistently had a higher rate of teacher retention when compared to districts on a four-day school week, there was no statistically significant impact (p>_.05).","duplicate of 22","Initial Full Search",,
231,"Anglum, J. Cameron","When Five Shrinks to Four: Assessing the Four-Day School Week in Rural Locales","In rural school districts across the country, four-day school weeks have proliferated. Currently adopted in 1,600 schools in 600 school districts, 90% of which are rural, four-day school week policies have prospered largely without a robust body of evidence to support their expansion. J. Cameron Anglum presents an overview of four-day school week policy expansion and describes a few of the studies into its effects on students, families, and communities.","[mass quarantine] duplicate of 235","Initial Full Search",,
234,"Tomayko, Emily J., Thompson, Paul N., Smith, Madeleine C., Gunter, Katherine B., Schuna, John M., Jr.","Impact of Reduced School Exposure on Adolescent Health Behaviors and Food Security: Evidence from 4-Day School Weeks","Background: Four-day school week (FDSW) use has increased substantially among US districts in recent years, but limited data exist on health impacts of this school schedule. This study examined associations of reduced school exposure via FDSWs with adolescent health and risk behaviors, obesity, and food security. Methods: Self-report data from 8th- and 11th-grade students from the Oregon Healthy Teens survey across 5 survey years (odd years 2007-2015, total N = 91,860-104,108 respondents depending on the survey question) were linked to a FDSW indicator. Regression analyses controlling for student and school characteristics compared outcomes between students in 4- and 5-day schools overall (without school fixed effects) and outcomes associated with switching to a FDSW (with school fixed effects). Results: When controlling for multiple student- and school-level factors, we observed adolescents in FDSW schools report they consume sugar sweetened beverages more frequently and water less frequently, have access to fewer days of physical education, are more likely to be food insecure, and are more likely to report the use of any drugs and specifically marijuana than 5-day school week students. Conclusions: Limiting exposure to the school environment via FDSWs may impact adolescent health behaviors, including diet, physical activity, and drug use.","duplicate of 47","Initial Full Search",,
235,"Cameron, Anglum J","When five shrinks to four: Assessing the four-day school week in rural locales","In rural school districts across the country, four-day school weeks have proliferated. Currently adopted in 1,600 schools in 600 school districts, 90% of which are rural, four-day school week policies have prospered largely without a robust body of evidence to support their expansion. J. Cameron Anglum presents an overview of four-day school week policy expansion and describes a few of the studies into its effects on students, families, and communities.","[mass quarantine] duplicate of 162","Initial Full Search",,
236,"Tomayko, Emily J, Thompson, Paul N, Smith, Madeleine C, Gunter, Katherine B, Schuna, John M, Jr","Impact of Reduced School Exposure on Adolescent Health Behaviors and Food Security: Evidence From 4‐Day School Weeks","BACKGROUNDFour‐day school week (FDSW) use has increased substantially among US districts in recent years, but limited data exist on health impacts of this school schedule. This study examined associations of reduced school exposure via FDSWs with adolescent health and risk behaviors, obesity, and food security.METHODSSelf‐report data from 8th‐ and 11th‐grade students from the Oregon Healthy Teens survey across 5 survey years (odd years 2007‐2015, total N = 91,860‐104,108 respondents depending on the survey question) were linked to a FDSW indicator. Regression analyses controlling for student and school characteristics compared outcomes between students in 4‐ and 5‐day schools overall (without school fixed effects) and outcomes associated with switching to a FDSW (with school fixed effects).RESULTSWhen controlling for multiple student‐ and school‐level factors, we observed adolescents in FDSW schools report they consume sugar sweetened beverages more frequently and water less frequently, have access to fewer days of physical education, are more likely to be food insecure, and are more likely to report the use of any drugs and specifically marijuana than 5‐day school week students.CONCLUSIONSLimiting exposure to the school environment via FDSWs may impact adolescent health behaviors, including diet, physical activity, and drug use.","duplicate of 47","Initial Full Search",,
237,"Kilburn, M Rebecca, Phillips, Andrea, Gomez, Celia J, Mariano, Louis T, Doss, Christopher Joseph, Troxel, Wendy M, Morton, Emily, Estes, Kevin","Does Four Equal Five? Implementation and Outcomes of the Four-Day School Week","The four-day school week (4dsw) is growing in popularity, especially in rural areas across the western United States. RAND Corporation researchers addressed knowledge gaps about the 4dsw by conducting a large-scale study of the implementation and outcomes of the 4dsw that involved the collection of original data in numerous districts across Idaho, New Mexico, and Oklahoma, as well as administrative data from these and other states. The researchers analyzed both qualitative and quantitative data to compare the 4dsw and five-day school week (5dsw). The analyses resulted in mixed findings. Advocates of the 4dsw argue that the shorter week saves money, improves student attendance, and helps recruit and retain teachers in rural districts. Cost savings related to the four-day model were relatively small, but savings due to a 4dsw may be used to maintain the level of instructional expenses in the face of revenue shortages. There was no quantitative evidence that the 4dsw improved student attendance. Qualitative data supported the view that the model helps attract and retain teachers. Families and students reported highly valuing the extra time that the 4dsw allowed them to spend together, and the data showed that, overall, stakeholders experienced high levels of satisfaction with the 4dsw. However, a comparison of English language arts and math test scores showed that students on the 4dsw have lower scores, over time, when compared with peers on a five-day schedule. Given these mixed findings, communities are likely to make different choices about the 4dsw depending on their goals and the local context.","duplicate of 93","Initial Full Search",,
238,"Uebelacker, Erik","Opinion: Four day work week could improve productivity",,"duplicate of 195","Initial Full Search",,
239,"Mulligan, Casey B","The incidence and magnitude of the health costs of in-person schooling during the COVID-19 pandemic","The health costs of in-person schooling during the pandemic, if any, fall primarily on the families of students, largely owing to the fact that students significantly outnumber teachers. Data from North Carolina, Wisconsin, Australia, England, and Israel covering almost 80 million person-days in school during 2020 help assess the magnitude of the fatality risks of in-person schooling, accounting for mitigation protocols as well as the age and living arrangements of students and teachers. The risks of in-person schooling to unvaccinated teachers are, for those not yet elderly, small enough to challenge comprehension. Valued at a VSL of $10 million, the average daily fatality cost ranges from $0.01 for a young teacher living alone to as much as $29 for an elderly teacher living with an elderly spouse. For each 22 million unvaccinated students and teachers schooling in-person for a 5-day week during the pandemic, the expected number of fatalities among teachers and their spouses is one or less.","[mass quarantine] duplicate of 2942","Initial Full Search",,
240,Anonymous,"Four-Day School Week Slows Learning",,"duplicate of 166","Initial Full Search",,
241,"Thompson, Paul, Morton, Emily","4-day school weeks: Educational innovation or detriment?","Recent national evidence also suggests that the schools where four-day weeks led to reductions in learning time see the most negative outcomes on student academic progress, with little to no impact on achievement among schools that maintain adequate learning time. [...]structuring the four-day school week to maintain adequate learning time seems to be the key to avoiding student learning loss and presents a path forward for schools considering this schedule. More to worry about than just achievement losses Lost exposure to the school environment doesn’t only mean missing in-person academic instruction, but also reduced access to school-meal programs, physical activity opportunities, and structured social interactions with peers, teachers, and administrators. Incorporating at-home, off-day learning could allow school districts to experience the potential benefits of the four-day school week model while helping to mitigate the achievement losses if in-person time in school is to be reduced.","[mass quarantine] duplicate of 117","Initial Full Search",,
242,"Thompson, Paul N","The Shrinking School Week","School attendance has a major influence on multiple dimensions of child development and family life. The student-level data also includes characteristics such as sex, race, free-and reduced-price lunch eligibility status, English as a second language program participation, and special education or gifted status. White students make up 79 percent of enrollment at four-day schools and 65 percent of enrollment in five-day schools. Because they are predominately rural, four-day schools also have much smaller average student enrollments, at 578 students compared to 3,817 students at five-day schools. Overall, average math scores decrease by 5.9 percent of a standard deviation in math as a result of the switch to the four-day school week, while reading scores decrease by 4.2 percent of a standard deviation.","duplicate of 116","Initial Full Search",,
245,,"Four-day school weeks could be a valuable alternative to hustle culture",,"duplicate of 104","Initial Full Search",,
248,"Thompson, Paul N","Does a Day Lost Equal Dollars Saved? The Effects of Four-Day School Weeks on School District Expenditures","Although four-day school weeks often have financial justifications, researchers know little about whether they save school districts money. This study examines the dynamics of school district expenditures surrounding the adoption of four-day school weeks using a self-collected nationwide panel of four-day school week use from 1999 to 2017 combined with disaggregated school district expenditure data. The study finds that districts use the four-day school week in conjunction with preexisting instructional expenditure reduction policies and that the four-day school week reduces support services expenditures due to decreased educational service provision.","[mass quarantine] duplicate of 53","Initial Full Search",,
251,"Estes, Kevin","An Exploration of Unintended Effects of Education Policies in the United States","The work in this dissertation examines unintended consequences from various public policies in education. The first policy examined is the adoption of the four-day school week schedule by public-school districts across the United States. Concerns over the additional weekend night for students are explored by examining teen traffic safety within the school district before and after adoption of the four-day schedule. The second policy examined is the usage of academic probation by universities. Student responses to being placed on academic probation vary, and financial implications for the student are a potential mechanism behind these responses. Student responses segmented by Pell status is explored throughout this chapter. The final policy examined is the introduction of charter schools throughout the United States. The effect of charter school competition on public-school district finances is explored and important differences are found depending on who establishes the charter school.","duplicate of 15","Initial Full Search",,
253,"Baker, David K.","Modernizing the School Calendar to Fit the Needs of the 21st-Century Student","Ever since the 1983 landmark study, A Nation at Risk, was released, educators have been examining the effectiveness of instructional time in American schools (Pedersen, 2012). However, school calendars have remained stagnant and seemingly a product of society and economy, tied to agriculture, for over 100 years (Turner & Finch, 2018). In Missouri, a growing number of schools are reevaluating the five-day school week and implementing a four-day school week in response (Turner & Finch, 2018). As stated by Thompson (2020), the impact of the four-day school week on student achievement requires more study. This study involved investigating the impact of the four-day school week on student academic achievement by examining 7th-grade and 8th-grade MAP data provided by the Missouri Department of Elementary and Secondary Education in the areas of math and ELA prior to and following the implementation of the four-day school week. Additionally, the perceptions of principals and teachers who work within the four-day school were collected to examine teacher morale, school finance, student discipline, and overall attendance (teachers and students). Quantitative data were analyzed to investigate pre- and post-implementation patterns. Furthermore, qualitative data in the form of interview responses were analyzed using coding methods to identify common phrases, keywords, and themes. The study findings revealed the four-day school week produced a negative impact on 7th-grade ELA, according to MAP data analysis, whereas 7th-grade math, 8th-grade ELA, and 8th-grade math indicated an insignificant impact. Additionally, the perceptions of principals and teachers indicated the four-day school week was an overall benefit to the school climate.","[mass quarantine] duplicate of 35","Initial Full Search",,
254,"Cameron, Anglum J, Park, Aaron","Keeping Up With the Joneses: District Adoption of the 4-Day School Week in Rural Missouri","In recent years, rural school district adoption of 4-day school weeks has grown markedly. Despite this rapid growth, scant empirical evidence has documented the factors associated with district adoption and subsequent effects on student, labor, and economic outcomes. We examine the spread of the 4-day school week in rural Missouri, where over 10% of the state’s districts have adopted the policy in the past decade, the majority over the past 2 years. To help policymakers understand why districts forgo a day of instruction and to contextualize postpolicy effects, we conduct a survival analysis to assess student, district, and staff characteristics associated with policy adoption. We find that the presence of nearby 4-day school week districts most strongly predicts policy adoption. Adopting districts typically offer lower teacher salaries than nearby districts and have declining student enrollments. Our findings may inform policy focused on teacher recruitment and retention in rural locales.","[mass quarantine] duplicate of 161","Initial Full Search",,
255,"Thompson, Paul N., Gunter, Katherine, Schuna, John M., Jr., Tomayko, Emily J.","Are All Four-Day School Weeks Created Equal? A National Assessment of Four-Day School Week Policy Adoption and Implementation","Four-day school weeks are used in over 1,600 schools across twenty-four states but little is known about adoption and implementation of these types of school calendars. Through examinations of school calendars and correspondence with school districts, we have compiled the most complete four-day school week dataset to date. We use this unique database to conduct a comprehensive analysis of four-day school week policy adoption and implementation. We find adoption of four-day school weeks is often financially motivated and has generally remained a small, rural district phenomenon. These schedules feature a day off once a week--often Friday--with increased time in school on each of the remaining four school days that, on average, is nearly an hour longer than the national average among five-day schools. Four-day school week schedules average only 148 school days per year, resulting in less time in school than the national average for five-day schools (180 days per year) despite the longer school days. Substantial heterogeneity exists in the structure of these schedules across states, which may help explain differential four-day school week effects on student outcomes across institutional settings in the previous literature.","duplicate of 51","Initial Full Search",,
258,"Kilburn, M. Rebecca, Phillips, Andrea, Gomez, Celia J., Mariano, Louis T., Doss, Christopher Joseph, Troxel, Wendy M., Morton, Emily, Estes, Kevin","Does Four Equal Five? Implementation and Outcomes of the Four-Day School Week. RR-A373-1","The four-day school week (4dsw) is growing in popularity, especially in rural areas across the western United States. RAND Corporation researchers addressed knowledge gaps about the 4dsw by conducting a large-scale study of the implementation and outcomes of the 4dsw that involved the collection of original data in numerous districts across Idaho, New Mexico, and Oklahoma, as well as administrative data from these and other states. The researchers analyzed both qualitative and quantitative data to compare the 4dsw and five-day school week (5dsw). The analyses resulted in mixed findings. Advocates of the 4dsw argue that the shorter week saves money, improves student attendance, and helps recruit and retain teachers in rural districts. Cost savings related to the four-day model were relatively small, but savings due to a 4dsw may be used to maintain the level of instructional expenses in the face of revenue shortages. There was no quantitative evidence that the 4dsw improved student attendance. Qualitative data supported the view that the model helps attract and retain teachers. Families and students reported highly valuing the extra time that the 4dsw allowed them to spend together, and the data showed that, overall, stakeholders experienced high levels of satisfaction with the 4dsw. However, a comparison of English language arts and math test scores showed that students on the 4dsw have lower scores, over time, when compared with peers on a five-day schedule. Given these mixed findings, communities are likely to make different choices about the 4dsw depending on their goals and the local context. [For the research brief, see ED615238. For Appendix C, see ED615239.]","duplicate of 93","Initial Full Search",,
264,"Rowden, Angelina","Impact of a Four-Day School Week on Student Discipline and Attendance in Missouri: A Quantitative Study","The quantitative study examined 24 four-day schools in Missouri with three years of five-day school week data and three years of four-day school week data. This study collected comparative data of the five-day school week to the four-day school week. The archival data of student attendance rates and discipline incident rates were from districts with the adopted four-day calendar from the years 2012-2018. The goal of this study was to add to the body of existing knowledge regarding the impact of the four-day school week on students. The purpose of this two-way repeated measures of ANOVA quantitative study was to analyze the transition of Missouri four-day public school districts and determine if the four-day school week impacted student attendance and student discipline incidents. The quantitative research found the four-day school week does not significantly impact student attendance or student discipline incident rates. Implications for policy and practice included researching the variety of ways to implement a compressed school and workweek and creating an action plan to track school district data, including student attendance and student discipline incidents, because the success of the four-day school week depends on the school community.","[mass quarantine] duplicate of 3046","Initial Full Search",,
278,"Wright, Curtis A","Day Five of the Four-Day School Week: Meeting the Comprehensive Needs of Students and Families","Schools that operate on a four-day schedule typically shorten the school week by eliminating either Monday or Friday and add more time to each day to provide the same number of instructional hours as a traditional five-day week. In 2011, former governor of Missouri, Jay Nixon, signed the optional four-day school week into law. The bill moved from requiring 174 days of instruction to a total of 1,044 hours for districts that wanted to go to four days.This project sought to find out what the 33 Missouri school districts that operated on a four-day school week during the 2018-2019 school year were doing on the fifth unscheduled day to address the comprehensive needs of the families and students they served. The project focuses on childcare, food insecurities and academic deficiencies and/or supplemental and extracurricular activities.","[mass quarantine] duplicate of 3022","Initial Full Search",,
279,"Morton, Emily","Effects of Four-Day School Weeks on Adolescents: Examining Impacts of the Schedule on Academic Achievement, Attendance, and Behavior in High School. CEPA Working Paper No. 21-05","Four-day school weeks have proliferated across the United States in recent years, reaching over 650 public school districts in 24 states as of 2019, but little is known about the effects of the four-day school week on high school students. This study uses district-level panel data from Oklahoma and a difference-in-differences research design to provide the first estimates of the causal effect of the four-day school week on high school students' ACT scores, attendance, and disciplinary incidents during school. Results indicate that four-day school weeks decrease per-pupil bullying incidents by approximately 31% and per-pupil fighting incidents by approximately 27%, but have no detectable effect on other incident types, ACT scores, or attendance.","[mass quarantine] duplicate of 79","Initial Full Search",,
